image_id,sensing_date,orbit_pass,relative_orbit,vv_db,vh_db
S1A_IW_GRDH_1SDV_20260117T225059_20260117T225124_062813_07E0ED_6622,2026-01-17,DESCENDING,91,-7.528432604388317,-14.479736621630089
S1A_IW_GRDH_1SDV_20260129T225058_20260129T225123_062988_07E739_0C0D,2026-01-29,DESCENDING,91,-11.317135469988507,-19.09938973374629
S1A_IW_GRDH_1SDV_20260210T225057_20260210T225122_063163_07EDC1_F94A,2026-02-10,DESCENDING,91,-10.220686772754066,-18.38088283929937
S1A_IW_GRDH_1SDV_20260222T225057_20260222T225122_063338_07F460_489C,2026-02-22,DESCENDING,91,-10.749708588490872,-19.204531159097552
S1A_IW_GRDH_1SDV_20260318T225057_20260318T225122_063688_080194_05D2,2026-03-18,DESCENDING,91,-9.161225372518627,-18.73457681010972
S1A_IW_GRDH_1SDV_20260330T225057_20260330T225122_063863_080814_C752,2026-03-30,DESCENDING,91,-8.207141361774363,-18.05488125379133
S1A_IW_GRDH_1SDV_20260411T225057_20260411T225122_064038_080EA7_7379,2026-04-11,DESCENDING,91,-7.543855439170997,-16.91712863926039
S1A_IW_GRDH_1SDV_20260423T225057_20260423T225122_064213_08152B_CF04,2026-04-23,DESCENDING,91,-8.357130192828595,-16.22780227060387
S1A_IW_GRDH_1SDV_20260505T225056_20260505T225121_064388_081BA8_D330,2026-05-05,DESCENDING,91,-8.06014933519688,-15.856724573900458
S1A_IW_GRDH_1SDV_20260517T225056_20260517T225121_064563_0821D6_363E,2026-05-17,DESCENDING,91,-8.530290472809275,-15.098404644082544
S1A_IW_GRDH_1SDV_20260529T225055_20260529T225120_064738_0827F9_597F,2026-05-29,DESCENDING,91,-9.105794760207967,-14.498488448688425
S1A_IW_GRDH_1SDV_20260610T225055_20260610T225120_064913_082E17_104F,2026-06-10,DESCENDING,91,-8.106859851875702,-14.05169498476206
S1A_IW_GRDH_1SDV_20260622T225054_20260622T225119_065088_08343E_F4FE,2026-06-22,DESCENDING,91,-9.082624910465176,-15.942756524168596
S1D_IW_GRDH_1SDV_20260629T225014_20260629T225039_003457_0061AA_23FC,2026-06-29,DESCENDING,91,-9.77212005278876,-16.46759464618907
